title,author,price
Bluey. Libro juguete - ¿Dónde está Bluey? (edición en español),Bluey,14.20
Cor trencat,"Blay, Pep",22.80
Tres enigmas para la Organización,"Mendoza, Eduardo",20.80
Titó. Excursió al fons del mar,"Jiménez Carbó, Cristina",11.35
BLACKWATER I. La riuada,"McDowell, Michael",9.40
Arta y Max - Superagentes secretos,"Game, Arta",17.05
Heartstopper 5. Creciendo contigo,"Oseman, Alice",15.15
Heartstopper 5. Sempre al teu costat,"Oseman, Alice",15.15
La cuina de la memòria,"Paré Vidal, Anna",18.95
Todos los lugares que mantuvimos en secreto,"Rubiales, Inma",17.95
BLACKWATER I. La riada,"McDowell, Michael",9.40
Casa de llama y sombra (Ciudad Medialuna 3),"Maas, Sarah J.",20.85
A partir d'ara,"Bellvehí, Marta",18.95
BLACKWATER II. El dique,"McDowell, Michael",9.40
BLACKWATER II. El dic,"McDowell, Michael",9.40
Magic Animals 1. El poder de l'amulet,"Isern, Susanna",11.35
Cuando seamos sueños de papel,"Ibáñez, Pol",18.00
Tu cerebro tiene hambre,"García, Boticaria",18.90
El subtil art que tot t'importi una merda,"Manson, Mark",16.05
Bona nit,"Martí, Meritxell",15.67
Manual de supervivència d'una dona soltera,"Picó Sentelles, Alfred",19.00
Anna Kadabra 13. Peligro en la mansión,"Mañas, Pedro",10.40
Las hijas de la criada,"Ónega, Sonsoles",21.75
Powerless,"Roberts, Lauren",20.85
